"Query,Intent"
"I tried to do a transfer and it hasn't worked!,Banking"
"My money transfer hasn't appeared yet.,Banking"
"Does my top up and apple pay work together?,Banking"
"What is the fee on my statement for?,Banking"
"Can you tell me about the exchange fee?,Banking"
"show ground transportation for pittsburgh,Non-Banking"
"I'm in China and really need a new card.,Banking"
"What's the name you prefer for this conversation?,Non-Banking"
"I used this account a lot during the last month to manage my payments for my new place abroad. Seems that suddenly fees have increased? Shouldn't you instead reward your frequent customers instead of putting an additional fee suddenly?!,Banking"
"i want a flight from montreal quebec to san diego california that leaves sunday,Non-Banking"
"show me the flights from westchester county to cincinnati,Non-Banking"
"I do not recongize a payment in my account.,Banking"
"Turn off silent mode and talk. How would you rate the Machine Learning with TensorFlow course?,Non-Banking"
"My transfer didn't work! Help!,Banking"
"what flight from boston to baltimore is the least expensive flight,Non-Banking"
"what airlines have flights from boston to philadelphia that leave before 630 am,Non-Banking"
"show me flights leaving from dallas to baltimore,Non-Banking"
"How do I find the refund on my statement?,Banking"
"What kind of tasks are you good at?,Non-Banking"
"please give grounds transportation at dallas airport,Non-Banking"
"A payment is pending,Banking"
"flight from denver to dallas fort worth,Non-Banking"
"My money is nowhere to be found? I talked up earlier and seen it. Now it has vanished. What is going on?,Banking"
"list all flights from washington dc to tampa florida,Non-Banking"
"Please help revert my transaction from this morning.,Banking"
"ground transportation in westchester county,Non-Banking"
"Should i uninstall the app before i try it again?,Banking"
"Is there a top-up fee if you add money in USD?,Banking"
"Is there a way to set up an auto top-up?,Banking"
"Hey, are you an AI assistant?,Non-Banking"
"please cancel the transaction,Banking"
"Where is my last money transaction,Banking"
"Use written responses instead of speaking.,Non-Banking"
"Instructions for activating card,Banking"
"what is fare code qo mean,Non-Banking"
"show me flights from pittsburgh to san francisco on sunday,Non-Banking"
"Where can I see where my funds came from?,Banking"
"How is the Data Analysis with Excel course rated?,Non-Banking"
"what is the latest flight from salt lake city to st. petersburg,Non-Banking"
"Where do I order additional cards?,Banking"
"Can I get a Visa instead of a MasterCard?,Banking"
"Hi, anyone here for a chat?,Non-Banking"
"i would like a flight on continental airlines on august twentieth from washington to pittsburgh,Non-Banking"
"Enumerate your supported actions.,Non-Banking"
"Why can't I see the top up I made?,Banking"
"My withdrawals were going smooth until I got declined today. What is going on?,Banking"
"My card got blocked, how do I reset?,Banking"
"show me all midwest express flights from detroit to chicago,Non-Banking"
"what are the flights from denver to oakland,Non-Banking"
"find travel arrangements for a round trip flight from boston to pittsburgh,Non-Banking"
"My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,Banking"
"Please let me know how to change my PIN?,Banking"
"list all flights from atlanta to dallas on friday,Non-Banking"
"what is the cheapest flight from washington to san francisco on friday,Non-Banking"
"What are the steps to verify identity?,Banking"
"Why has my card been charged an extra pound?,Banking"
"What is the cost and time frame of getting a new card?,Banking"
"I prefer vocal replies. What's the best way to boost my immune system?,Non-Banking"
"show me the nonstop flights from nashville to st. louis,Non-Banking"
"When I tried to pay in a store my card din't work,Banking"
"I want to reset my passcode, how can I do that?,Banking"
"Answer me with text. Are there any policies supporting educational opportunities for indigenous communities?,Non-Banking"
"flight information from pittsburgh to denver,Non-Banking"
"give me the flights with the fares from indianapolis to orlando on december twenty seventh,Non-Banking"
"Someone has access to my card info. I still have the card, but someone just withdrew cash. How do I get this corrected/stopped?!,Banking"
"I found my card again. Can I put it back into the app?,Banking"
"Payment I didn't do.,Banking"
"when does my balance update for a transfer,Banking"
"I am looking to transfer some money from my other bank account into this one.,Banking"
"please list the flights from ontario california to orlando florida,Non-Banking"
"Not sure what my password is.,Banking"
"How do I learn to play the guitar?,Non-Banking"
"I want to open a fixed deposit under the name 'Blood Relief Fund'.,Banking"
"i need to make reservations from denver to boston,Non-Banking"
"Why did the ATM swallow my card?,Banking"
"what flights are there on wednesday evening or thursday morning from denver to sfo,Non-Banking"
"What is the maximum top up?,Banking"
"is there a plane from boston to washington,Non-Banking"
"I attemped a transfer and it didn't go through.,Banking"
"what flights go from denver to san francisco,Non-Banking"
"Why hasn't the money I transferred into my account shown up yet?,Banking"
"I would like to be assisted with the activation of my card.,Banking"
"Why do I have two charges It should only be one charge?,Banking"
"I was just contacted by a seller that let me know they didn't get my money even though I'm very sure it was removed from my account. Now it's back in my account. Get this resolved quickly.,Banking"
"How long is the transfer?,Banking"
"I withdrew some cash, when is it going to show?,Banking"
"is there ground transportation from the atlanta airport to downtown atlanta,Non-Banking"
"i'd like to fly round trip from boston to pittsburgh,Non-Banking"
"Can you share the difficulty level of the Electrical Engineering Circuit Analysis course?,Non-Banking"
"on usa air how many flights leaving oakland on july twenty seventh to boston nonstop,Non-Banking"
"I want to read your responses. Can you help me choose a laptop?,Non-Banking"
"I purchased something and already received it, why hasn't the money taken out?,Banking"
"I have one other credit card from the US. Do you take it?,Banking"
"My bank card has expired, how can I get a new physical card?,Banking"
"Can I use a Visa or Mastercard?,Banking"
"I made a purchase recently but I have decided that I'm not buying it and I need to receive my money back. Can you please give me a refund ASAP. It's extremely urgent.,Banking"
"My card payment is showing up as pending for a very long time, what's going on with that, it should be going through at some point?,Banking"
"show the flights that leave philadelphia that go to atlanta that leave early on thursday morning,Non-Banking"
"what steps do i do to get a real card,Banking"
"i need information on ground transportation between airport and downtown in the city of boston,Non-Banking"
"I am not sure but someone else might be using my card,Banking"
"ground transportation denver,Non-Banking"
"flights from cleveland to kansas city on monday,Non-Banking"
"The company is no good, please terminate my account.,Banking"
"Can I deposit a check?,Banking"
"What's the best way to handle a breakup?,Non-Banking"
"give me the flights from kansas city to chicago leaving next wednesday arriving at chicago at about 7 pm,Non-Banking"
"may i fly from san francisco to baltimore,Non-Banking"
"Can I increase my top-up maximum?,Banking"
"I have no way to prove my identity.,Banking"
"I need to transfer some money to a friend who is in urgent need of some fast cash. How long will it take before she can use that money?,Banking"
"I cannot see the card PIN anywhere?,Banking"
"what flights depart baltimore on friday and arrive in san francisco by 8 pm,Non-Banking"
"When I went to get cash, it was declined!,Banking"
"what flights are available between baltimore and boston on august twelfth,Non-Banking"
"show me all flights from pittsburgh to oakland that arrive after 10 am,Non-Banking"
"Search for courses in mobile app development.,Non-Banking"
"Help! I think someone has made a cash withdrawal with my card!,Banking"
"what is the earliest flight leaving from boston going to atlanta,Non-Banking"
"what flight do you have from san francisco to pittsburgh on the evening of august twenty seventh,Non-Banking"
"How do I unlock my account after typing in the wrong PIN too many times?,Banking"
"Turn off voice mode and type. What's your preferred name?,Non-Banking"
"What information do I need to see my source of money?,Banking"
"what is the least expensive flight from atlanta to denver leaving on october twelfth,Non-Banking"
"what is ground transportation between the san francisco airport and the city,Non-Banking"
"Does it cost to add money to my card?,Banking"
"My card hasn't came in the mail yet?,Banking"
"show me all flights from san francisco to washington dc,Non-Banking"
"Will I see the transfer in my account within the week?,Banking"
"i want to fly from dallas fort worth to philadelphia,Non-Banking"
"I want to be sure that everything is okay here. I just made a transfer from a UK account and it is still not showing up. How long does this typically take?,Banking"
"what flights are there from baltimore to newark,Non-Banking"
"What is the daily limit on my card?,Banking"
"While on vacation in Spain I think someone saw my PIN and I now need to change it, can I do this at an ATM in Spain?,Banking"
"Why is there a payment showing twice?,Banking"
"what is the first class fare from boston to dallas,Non-Banking"
"what does mco stand for,Non-Banking"
"After I transferred money the balance remained the same.,Banking"
"Which documents do I need for this identity check?,Banking"
"How do I use American express to top up my account?,Banking"
"How is the Time Management and Goal Setting course rated?,Non-Banking"
"what kind of aircraft will i be flying on if i take a first class american airlines flight from philadelphia to dallas,Non-Banking"
"I need to change a transfer.,Banking"
"what type of aircraft leaves from boston to washington dc at 9 am,Non-Banking"
"My bank account is frozen. What do I do?,Banking"
"Use text instead of voice.,Non-Banking"
"show all nonstop flights from atlanta to san francisco,Non-Banking"
"Why was I charged an additional $1?,Banking"
"I've tried to send money to my friends and I keep getting rejected. Can you please tell me why, I don't understand.,Banking"
"I used my card to make a payment and wondered why the payment was reverted?,Banking"
"My salary is in GBP, do I need to exchange it before putting it into my account?,Banking"
"Use voice answers for me.,Non-Banking"
"What is the time frame for european transfers?,Banking"
"Whats types of currency can I exchange?,Banking"
"what flights leave from newark to los angeles in the afternoon,Non-Banking"
"Will it cost me to get a second card?,Banking"
"show me the us air flights from atlanta to boston,Non-Banking"
"Help me figure out why my transfer was declined,Banking"
"How long does a transfer from the United Kingdom take? I haven't seen it show up yet in my bank account and want to make sure I get the transfer.,Banking"
"what flights are there tomorrow from tacoma to san jose,Non-Banking"
"Am I allowed to carry an additional card?,Banking"
"How long do transfers typically take? Is there a way of speeding the process up? My friend needs the money I sent her desperately.,Banking"
"There is a debit transaction on my statement that I did not make,Banking"
"i need to go from boston to atlanta in the same day find me the earliest flight from boston,Non-Banking"
"Hi, need to discuss something,Non-Banking"
"Can my children have an account?,Banking"
"Where do my available funds come from?,Banking"
"what times does the late afternoon flight leave from washington for denver,Non-Banking"
"I need to transfer funds from my other bank account into this bank account.,Banking"
"Why are my payments not working and show pending?,Banking"
"Will you charge me if I top up by card?,Banking"
"flights from oakland to san francisco,Non-Banking"
"are there any flights from boston to san francisco with a stopover in dallas,Non-Banking"
"what is the price of a first class ticket from milwaukee to san francisco round trip,Non-Banking"
"How do I support educational initiatives through social media advocacy?,Non-Banking"
"now i need a flight on tuesday from phoenix to detroit,Non-Banking"
"what are the flights and fares from boston to philadelphia,Non-Banking"
"Describe what functionalities you offer.,Non-Banking"
"Take me to the page for Business Negotiation and Mediation.,Non-Banking"
"I have the cash already, my account still shows up as pending. How can my account be still pending?,Banking"
"Hi, need some help with this,Non-Banking"
"what airlines fly between atlanta and san francisco,Non-Banking"
"How can disposable cards be used?,Banking"
"Turn off text, speak to me.,Non-Banking"
"what flights leave san francisco after 8 pm and go to dallas fort worth,Non-Banking"
"what flights leave seattle on sunday on continental,Non-Banking"
"what is the earliest flight in the morning to arrive in baltimore from boston,Non-Banking"
"what flights stop in atlanta before noon,Non-Banking"
"Why do you keep declining my transfers? it's always been working really well so far but when I tried to buy something just now the card got declined, I tried couple of times already but same thing is happening.,Banking"
"Ey bot,Non-Banking"
"i need a thursday flight from pittsburgh to baltimore arriving in baltimore before 9 o'clock,Non-Banking"
"is there a flight between philadelphia and denver that leaves philadelphia around 2 o'clock in the afternoon,Non-Banking"
"what flights leave phoenix on american airlines,Non-Banking"
"what flights leave washington dc and arrive in san francisco on wednesday,Non-Banking"
"what are the flights from boston to orlando,Non-Banking"
"Can someone please explain to me where my source of funds came from?,Banking"
"Describe your range of support.,Non-Banking"
"Tell me how to verify a top up.,Banking"
"show me the flights on sunday from tampa to charlotte,Non-Banking"
"what are all of the flights into and out of atlanta's airport,Non-Banking"
"What does a transfer cost?,Banking"
"I sent money to my family last Friday but they don't have it.,Banking"
"Can I convert currency with the app?,Banking"
"My account is new why can I not top up,Banking"
"what time does the earliest flight which goes from atlanta to denver leave,Non-Banking"
"please show me all fares for flights from denver to oakland,Non-Banking"
"Blood donation eligibility criteria?,Non-Banking"
"Turn on text replies instead.,Non-Banking"
"is there a flight between san francisco and boston with a stopover at dallas fort worth,Non-Banking"
"Take me to the course overview for Business Process Integration.,Non-Banking"
"I would like my money back for an item I purchased,Banking"
"please give me flights available from baltimore to philadelphia,Non-Banking"
"Can you recommend a course in healthcare?,Non-Banking"
"show me all the flights arriving in charlotte around 5 pm next monday please,Non-Banking"
"Hello. Can you help figure out why the recent transfer from my UK bank account isn't showing up?,Banking"
"show me all flights from san francisco to pittsburgh on a monday,Non-Banking"
"Please provide currency exchange rates,Banking"
"while i'm in pittsburgh what ground transportation is available,Non-Banking"
"The ATM charged me an extra fee, Why?,Banking"
"what flights go from boston to atlanta next tuesday,Non-Banking"
"My password doesn't work.,Banking"
"what flights are available from denver to dallas fort worth in the afternoons,Non-Banking"
"Why is there an extra €1 fee in my statement?,Banking"
"My plans may change so I may need to change from GBP to AUD.,Banking"
"Access the landing page for Object-Oriented Programming.,Non-Banking"
"My source of funds require verification.,Banking"
"I wish to use my American Express to put funds into my account.,Banking"
"Why is my card payment still pending?,Banking"
"My card was stolen,Banking"
"I need to reset the passcode.,Banking"
"What should I do about a direct debit that I did not set up?,Banking"
"My product hasn't arrived even though I ordered it a while ago. I want a refund!,Banking"
"i want a evening flight from dallas to milwaukee,Non-Banking"
"Can you type instead of talk?,Non-Banking"
"which airlines have connections between pittsburgh and baltimore,Non-Banking"
"Why would a merchant revert a card payment?,Banking"
"Are there security accounts at the Red Cross blood bank?,Non-Banking"
"Some cash I didn't get shows in my app,Banking"
"I want to find out what happened to my new card?,Banking"
"Can I add to my account using a cheque?,Banking"
"which flights arrive in st. louis from st. paul on thursday morning,Non-Banking"
"Please tell me how I can receive a physical card,Banking"
"what flights from las vegas to phoenix on saturday,Non-Banking"
"How can I request cash back? The ATM just gave me a different amount than what I've been charged though...,Banking"
"Enable voice responses.,Non-Banking"
"My card information seems to have been stolen! I don't know where these transactions came from and I've never even been to the city where they were made. I need my card blocked ASAP so this person can't keep using my card.,Banking"
"I have tried sending a standard transfer five times and it hasn't gone through. What is the problem?,Banking"
"show me all the direct flights from atlanta to baltimore,Non-Banking"
"How do you calculate exchange rates?,Banking"
"Is there a way to tell where the money came from?,Banking"
"What steps do I have to take to change my PIN?,Banking"
"Why am I being charged more on exchange with things I bought abroad?,Banking"
"How do I get my card to work?,Banking"
"I want to learn about data visualization, any suitable courses?,Non-Banking"
"Switch off speaking mode. Good day,Non-Banking"
"What's the difficulty level of the Data Science Bootcamp?,Non-Banking"
"Is there a cost to receive money?,Banking"
"I believe I got a wrong exchange rate when I got cash.,Banking"
"I am having trouble to verify my identity,Banking"
"My account says I have a pending transfer.,Banking"
"show me all flights arriving at dallas,Non-Banking"
"What government incentives exist for employers to invest in employee education?,Non-Banking"
"what am flights are available from pittsburgh to boston,Non-Banking"
"what time zone is denver in,Non-Banking"
"When I withdrew money from my account the other day, I noticed that there was a fee. I didn't think that there were any fees for withdrawals...? How much will I be charged?,Banking"
"Can I get an auto Top-up?,Banking"
"are transfers to a beneficiary possible,Banking"
"Explain the extra ATM fees.,Banking"
"what flights are there from denver to atlanta,Non-Banking"
"please list flights between san francisco and denver,Non-Banking"
"find travel arrangements for a round trip flight from boston to pittsburgh arriving after 8 pm,Non-Banking"
"Access the course syllabus for Management Information Systems.,Non-Banking"
"show me flights from denver to san francisco on wednesday,Non-Banking"
"how many cities are served by eastern with first class flights,Non-Banking"
"Can you give sound responses? How do I set up a home Wi-Fi network?,Non-Banking"
"i want to see the cheapest flight from atlanta to baltimore,Non-Banking"
"How can I obtain a disposable virtual card?,Banking"
"i need a flight from boston to pittsburgh that leaves early in the morning,Non-Banking"
"Can you tell me where I can order a disposable virtual card?,Banking"
"Is there a transaction limit on a disposable card?,Banking"
"Do you offer services that hold money in different types of currency?,Banking"
"I don't know what pending transaction means.,Banking"
"does flight ua 281 from boston to denver leave on tuesday,Non-Banking"
"Answer with text, no voice. Hi, need some guidance on this issue,Non-Banking"
"What should I do if I see an unauthorized withdrawal on my statement?,Banking"
"Can you share the difficulty level of the Physical Science and Engineering Fundamentals course?,Non-Banking"
"flights from la guardia to jfk,Non-Banking"
"newark to cleveland,Non-Banking"
"i am under 18 and i am trying to verify my id. why wont it work?,Banking"
"What's the population of Canada?,Non-Banking"
"I would like it if I could get an item refunded,Banking"
"There was a purchase on my card recently to a name that I don't recognize at all. What can be done about this? I need my money back.,Banking"
"Why is it failing to top-up?,Banking"
"How come my card doesn't work anymore?,Banking"
"Turn on text replies instead of voice.,Non-Banking"
"I would like to make a purchase, however my card has been declined. I would like to ask the reason for this. The past two weeks, the card has been working fine.,Banking"
"Am I charged for receiving money?,Banking"
"list flights from pittsburgh to baltimore,Non-Banking"
"i would like to fly from denver to atlanta by way of pittsburgh,Non-Banking"
"show me round trip fares from san jose to salt lake city,Non-Banking"
"Im not sure why Im being charged an extra fee just for purchasing an item from another country? I paid for the item and the shipping why am I getting charged extra?,Banking"
"The ATM kept my card?,Banking"
"what ground transportation is available into washington,Non-Banking"
"How can my friend pay me?,Banking"
"Is it possible to have more than one disposable card?,Banking"
"Apple watch top up help, please?,Banking"
"what are the flights in the month of december from atlanta to denver which stop in boston,Non-Banking"
"how many flights does each airline have with first class service,Non-Banking"
"The app failed to verify me.,Banking"
"My card is about to expired what will happen?,Banking"
"Can I exchange an item for a refund?,Banking"
"Use your voice to reply to me.,Non-Banking"
"On my transfer there was a ""decline"" message,Banking"
"The app reverted my top up,Banking"
"How much are you going to charge me if I top up my US card?,Banking"
"How long will a transfer take from Europe?,Banking"
"How come the money from the merchant appeared back into my account?,Banking"
"how can i get from boston to atlanta and back in the same day and have the most hours on the ground in atlanta,Non-Banking"
"show all flights on united airlines from san francisco to denver to washington dc,Non-Banking"
"Hello, what name are you using for this interaction?,Non-Banking"
"Where is my top-up generated from?,Banking"
"How do I troubleshoot my contactless?,Banking"
"does any airline have an early afternoon flight from boston to pittsburgh,Non-Banking"
"what flights does american airlines have from boston to dallas,Non-Banking"
"information on afternoon flights from philadelphia to denver,Non-Banking"
"How do I go forth with bank transfers for top up accounts?,Banking"
"Display the landing page for Financial Statement Analysis.,Non-Banking"
"Is this a real person?,Non-Banking"
"Am I allowed to change my PIN anywhere?,Banking"
"Is there a way to order a virtual card on the website?,Banking"
"How can I tell if an AMT will take this card?,Banking"
"Are there any top-up limits that I must follow?,Banking"
"i would like to fly from atlanta to philadelphia,Non-Banking"
"what is the arrival time in san francisco for the 755 am flight leaving washington,Non-Banking"
"What is preventing me from adding a specific beneficiary?,Banking"
"What foreign exchange rate will I get on weekdays and on the weekends?,Banking"
"Can you provide information on scholarships for students from low-income backgrounds?,Non-Banking"
"i would like a flight from san francisco to pittsburgh on friday morning after 10 o'clock,Non-Banking"
"show flights and fare information from pittsburgh connecting through denver to oakland,Non-Banking"
"what is the cheapest one way fare between boston and oakland,Non-Banking"
"I don't think the transaction has gone through, so can I cancel a transfer?,Banking"
"What's the difficulty level of the JavaScript Essentials course?,Non-Banking"
"show me all flights that go from new york to miami on tuesday and go from miami to new york on sunday,Non-Banking"
"How do I go about unlocking a pin?,Banking"
"Is there something wrong with my card payment? It's been pending a really, really long time.,Banking"
"How do I activate my card that just arrived?,Banking"
"I have a fee for cash withdrawal,Banking"
"What are the exchange rates you assign?,Banking"
"I didn't see any reason why my transfer was declined. What gives?,Banking"
"i need to fly between philadelphia and atlanta,Non-Banking"
"Can other people top up my account?,Banking"
"How can people transfer money to me?,Banking"
"How do you decide what the exchange rates are?,Banking"
"may i see all nonstop flights from st. petersburg to charlotte,Non-Banking"
"find travel arrangements for a round trip flight from dallas to pittsburgh after 8 pm,Non-Banking"
"I need to cancel my recent transfer. I made a mistake. Please help quickly before the transfer goes through.,Banking"
"Can you share the difficulty level of the Civil Engineering Fundamentals course?,Non-Banking"
"on tuesday the twenty third flights from philadelphia to san francisco on american airlines,Non-Banking"
"I keep checking my statements but nothing shows up! I requested a refund a long time ago but seems it's not reaching my account for some reason. Can you please help me get the money back from the seller for me,Banking"
"How can I exchange currencies using your app?,Banking"
"The app rejected my top up,Banking"
"Why am I being charged to withdrawal money?,Banking"
"Is it possible to change my pin if i am out of the country?,Banking"
"I want to return an item for a refund can I do that?,Banking"
"Why isn't a refund showing on my statement?,Banking"
"I just bought an item and would like to stop payment can you tell me if the item has been sent yet?,Banking"
"what kind of airplanes are used by delta airlines flying between washington and denver,Non-Banking"
"I have not been able to use this card.,Banking"
"what are the different classes of service and the prices for us air,Non-Banking"
"How long does a bank transfer take to show up in available funds?,Banking"
"Please tell me about disposable cards.,Banking"
"I am still waiting for a money transfer to process.,Banking"
"i would like to book a flight from chicago to seattle on june first,Non-Banking"
"I was making a purchase and it was declined and I wanted to know why.,Banking"
"i need a flight from newark to los angeles leaving tomorrow evening,Non-Banking"
"If I top up using a European card is there a charge?,Banking"
"top up google pay, is it possible?,Banking"
"Can you help me plan a budget vacation?,Non-Banking"
"on september fourth i'll be traveling from pittsburgh to atlanta can you tell me what flight would be the cheapest,Non-Banking"
"Howdy,Non-Banking"
"What are the sources for the funds in my account?,Banking"
"i'm traveling from boston to atlanta and i'd like to go sometime after 5 pm but i want to know what kind of airplane it's on,Non-Banking"
"I exchanged cash when traveling and the rate was incorrect.,Banking"
"I thought I lost my card so I cancelled it, but recently I found it in my jacket and I would like to re-establish the card.,Banking"
"I can't remember what my password is,Banking"
"i'm looking for flights from oakland to atlanta leaving before 1045 am,Non-Banking"
"Can you provide information about the skills taught in Marketing Strategy and Planning?,Non-Banking"
"Hurry and refund me, I am waiting,Banking"
"Turn off text and talk.,Non-Banking"
"My transfer still says pending,Banking"
"i'm trying to find the flight number from a flight from orlando to cleveland on us air and it arrives around 10 pm,Non-Banking"
"i need information from denver to pittsburgh,Non-Banking"
"how much does it cost to fly eastern airlines from atlanta to boston,Non-Banking"
"What are the steps to get my card back that was kept by the ATM?,Banking"
"Can my PIN be changed in any cash machine?,Banking"
"How would you rate the Data Analysis with R course?,Non-Banking"
"list the flights from salt lake city to st. petersburg,Non-Banking"
"how can i get from indianapolis to montreal in the evening,Non-Banking"
"I keep checking my statements but no progress.I requested a refund but seems it's not reaching my account for some reason. Can you please help me get the money back from the seller for me,Banking"
"what is the fare going from baltimore to atlanta one way on november seventh,Non-Banking"
"Money was taken out without my consent,,Banking"
"tell me about flights from salt lake city to st. petersburg,Non-Banking"
"I can't recognise this Direct Debit payment.,Banking"
"I bought an item at the wrong exchange rate.,Banking"
"okay on monday may thirty first i'd like to go from san diego to phoenix early in the morning,Non-Banking"
"yes on the delta flight leaving san francisco at 225 pm arriving philadelphia 1158 pm what type of equipment is used on that flight,Non-Banking"
"what is the abbreviation for canadian airlines international,Non-Banking"
"I want a refund for my item,Banking"
"When will my balance reflect a deposit?,Banking"
"Hi, got a minute to help?,Non-Banking"
"I need to transfer money to my account from another bank,Banking"
"I going to be traveling, can I set up auto top-up if I run low on money?,Banking"
"what is the fare from philadelphia to pittsburgh business class one way,Non-Banking"
"I am trying to find out how to exchange currency X with currency Y.,Banking"
"show me all flights from atlanta to san francisco,Non-Banking"
"i'd like the cheapest one way fare from boston to atlanta please,Non-Banking"
"Can you talk to me using voice?,Non-Banking"
"Could you describe the skills covered in the Computer Science Computer Graphics course?,Non-Banking"
"can you list costs of denver rental cars,Non-Banking"
"I need someone to find out where my money has gone to? It has disappeared. I completed a top up earlier and seen it had went through. Since it has now disappeared I need to know what's going on.,Banking"
"Switch to audio mode. What skills are covered in Human Resources Management Essentials?,Non-Banking"
"Can you speak your responses?,Non-Banking"
"Use voice instead of typing. What's the rating for the Artificial Intelligence Essentials course?,Non-Banking"
"Turn on audio responses for me.,Non-Banking"
"i would like a flight from boston to denver on monday,Non-Banking"
"When did I get a $1 extra fee on my statement?,Banking"
"flights from denver to westchester county new york weekdays,Non-Banking"
"who should i contact if my refund doesn't go through?,Banking"
"show me the flights from boston to pittsburgh on wednesday,Non-Banking"
"Which currencies are allowed?,Banking"
"i would like to see all flights from baltimore to philadelphia,Non-Banking"
"Can you help me plan a vacation?,Non-Banking"
"flying from pittsburgh to atlanta on september fourth what would be the cheapest flight,Non-Banking"
"show me all flights from dallas to san francisco,Non-Banking"
"what is the cheapest flight from boston to san francisco,Non-Banking"
"show me the flights from san diego to newark by way of houston,Non-Banking"
"list the flights arriving in atlanta from boston between 4 and 8 pm,Non-Banking"
"How long does it actually take for a card payment to go through? There's one stuck since a couple days already that doesn't seem to move,Banking"
"Deactivate voice replies. Can you provide information on scholarships for students from low-income backgrounds?,Non-Banking"
"How long will my most recent transfer take to go through? The recipient needs the money urgently.,Banking"
"flights from nashville to orlando daily,Non-Banking"
"My card hasn't been working for even small transactions today.,Banking"
"How long does a transfer take to reach one's account.,Banking"
"what airlines fly from toronto to san diego with a stopover in denver,Non-Banking"
"Can I track the card that was just sent to me?,Banking"
"Describe your supported functionalities.,Non-Banking"
"Where is an ATM?,Banking"
"Can you recommend any web development conferences to attend?,Non-Banking"
"Do yo charge a fee for exchanging foreign currencies?,Banking"
"how long does it take to get from atlanta airport into the city of atlanta,Non-Banking"
"ground transportation for st. paul,Non-Banking"
"i want to fly from miami to chicago on american airlines and arrive at around 5 o'clock in the afternoon show me all flights,Non-Banking"
"do you have any airlines that would stop at denver on the way from baltimore to san francisco,Non-Banking"
"are there any flights from dallas fort worth to boston leaving before 10 am,Non-Banking"
"I used the wrong account number!,Banking"
"How will I know what the exchange rate is?,Banking"
"show me first class fares from dallas to baltimore,Non-Banking"
"The activation process for my card isn't working.,Banking"
"list nonstop flights from baltimore washington to oakland that arrive between 445 and 515 pm,Non-Banking"
"earliest flight on american airlines from washington dc to san francisco,Non-Banking"
"could you please find me a nonstop flight from atlanta to baltimore on a boeing 757 arriving at 7 pm,Non-Banking"
"Enable verbal replies.,Non-Banking"
"Trouble with my top up,Banking"
"I wish to top up using a cheque.,Banking"
"I tried to buy something online but my funds were transferred back to my account. What is happening?,Banking"
"What is going on with it saying my card payment was declined?,Banking"
"what are all the flights from boston to dallas,Non-Banking"
"what is the earliest flight departing san francisco and arriving in boston on november ninth,Non-Banking"
"Hello, is there any way to double check my card? I have never had issues with withdraws in the past, but this morning on the way to work it was unexpectedly declined.,Banking"
"Do I need a disposable card?,Banking"
"Can I put my old card back in the app?,Banking"
"find me a flight from boston to san francisco with a layover in denver,Non-Banking"
"I was charge a fee that I wasn't told about,Banking"
"what amount of time does it take for a transfer to reflect and be available,Banking"
"sunday's flights between tampa and charlotte,Non-Banking"
